model	shape	lcpp_tok_s	lcpp_commit	date
gemma2_2b_q4_k_m	pp512	1654.12	7642f1c	2026-07-17
gemma2_2b_q4_k_m	tg128	112.89	7642f1c	2026-07-17
gemma2_2b_q4_k_m	tg128_b1_batched	104.33	7642f1c	2026-07-17
gemma2_2b_q4_k_m	tg128_b2	121.91	7642f1c	2026-07-17
gemma2_2b_q4_k_m	tg128_b4	204.97	7642f1c	2026-07-17
gemma2_2b_q4_k_m	tg128_b8	229.45	7642f1c	2026-07-17
gemma2_2b_q4_k_m	tg128_b16	348.09	7642f1c	2026-07-17
gemma2_2b_q8_0	pp512	1896.87	7642f1c	2026-07-17
gemma2_2b_q8_0	tg128	98.59	7642f1c	2026-07-17
gemma2_2b_q8_0	tg128_b1_batched	96.13	7642f1c	2026-07-17
gemma2_2b_q8_0	tg128_b2	153.00	7642f1c	2026-07-17
gemma2_2b_q8_0	tg128_b4	254.02	7642f1c	2026-07-17
gemma2_2b_q8_0	tg128_b8	293.64	7642f1c	2026-07-17
gemma2_2b_q8_0	tg128_b16	394.42	7642f1c	2026-07-17
gemma3_1b_q8_0	pp512	4974.59	7642f1c	2026-07-17
gemma3_1b_q8_0	tg128	155.79	7642f1c	2026-07-17
gemma3_1b_q8_0	tg128_b1_batched	153.57	7642f1c	2026-07-17
gemma3_1b_q8_0	tg128_b2	314.50	7642f1c	2026-07-17
gemma3_1b_q8_0	tg128_b4	494.29	7642f1c	2026-07-17
gemma3_1b_q8_0	tg128_b8	664.07	7642f1c	2026-07-17
gemma3_1b_q8_0	tg128_b16	767.70	7642f1c	2026-07-17
gemma3_4b_q8_0	pp512	1217.93	7642f1c	2026-07-17
gemma3_4b_q8_0	tg128	68.81	7642f1c	2026-07-17
gemma3_4b_q8_0	tg128_b1_batched	64.44	7642f1c	2026-07-17
gemma3_4b_q8_0	tg128_b2	99.52	7642f1c	2026-07-17
gemma3_4b_q8_0	tg128_b4	164.27	7642f1c	2026-07-17
gemma3_4b_q8_0	tg128_b8	175.32	7642f1c	2026-07-17
gemma3_4b_q8_0	tg128_b16	290.09	7642f1c	2026-07-17
